row ID	row m/z	row retention time	OOI-3cm-B Peak area	OOI-7cm-B Peak area	OOI-8cm-B Peak area	OOI-0cm-B Peak area	OOI-4cm-B Peak area	OOI-2cm-B Peak area	OOI-5cm-B Peak area	115-9 Peak area	123-8cm-B Peak area	123-9cm-B Peak area	123-5cm-B Peak area	123-4 Peak area	123-7 Peak area	123-3 Peak area	123-6 Peak area	064-7 Peak area	085-8cm-A Peak area	085-9cm-B Peak area	115-4cm-B Peak area	115-8 Peak area	123-2cm-B Peak area	123-0 Peak area	115-5 Peak area	115-3 Peak area	115-7 Peak area	085-5cm-B Peak area	115-1 Peak area	064-9 Peak area	064-5cm-B Peak area	115-2cm-B Peak area	OOI-6 Peak area	085-7cm-B Peak area	085-6 Peak area	123-1 Peak area	115-6 Peak area	085-0 Peak area	085-4 Peak area	064-2cm-B Peak area	115-0 Peak area	085-2 Peak area	064-6 Peak area	085-1 Peak area	064-4 Peak area	085-3 Peak area	064-8 Peak area	064-3 Peak area	064-1 Peak area	064-0 Peak area	
1864	823.6961419959540	19.5036	0	0	0	0	0	0	0	0	48.436523	0	0	0	0	303.9775	0	0	0	0	0	0	0	0	740.9926	235.51996	0	0	0	0	0	0	0	0	0	0	183.63834	0	75.68418	0	708.7227	65.15871	0	553.8348	0	461.8467	0	0	0	0	
2147	1115.6591327917100	20.326149	0	0	0	0	0	0	0	0	0	0	0	316.76688	177.49017	411.45087	247.71028	0	0	0	0	0	0	210.20541	305.97086	411.47372	207.19695	0	0	0	0	0	0	0	0	278.56567	335.1729	163.31026	0	80.62634	220.72354	51.24275	0	95.14242	0	57.933834	0	279.0249	0	188.59544	
1022	1124.8219912580800	16.7324	0	0	176.91292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1088	1131.5053440687300	16.843384	0	0	0	75.02123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562.3807	0	0	0	0	0	74.09575	0	0	0	0	0	0	
1314	461.38172646023900	17.419827	0	0	0	0	0	0	0	337.21024	226.17474	94.3432	104.13319	1084.7913	179.51572	1192.9019	369.92383	0	0	0	605.83026	486.78726	199.3384	627.28894	235.01157	292.23843	295.06918	0	155.05734	0	61.506886	515.5049	0	56.755783	0	1047.3735	390.81696	131.50969	0	173.33112	256.36	0	0	89.3132	0	49.388836	0	0	118.002556	501.76236	
1703	794.6115522793990	18.856153	50.159916	49.15341	51.03824	0	61.913826	0	68.038284	73.40861	70.0017	54.681667	45.88421	0	0	52.814194	75.84909	0	0	0	0	53.663418	0	0	0	0	45.62755	397.9019	0	0	58.271126	45.054962	54.099262	108.77292	745.4625	0	0	80.73366	278.4287	127.21069	0	96.307755	0	116.50504	50.663723	104.361565	0	116.181725	95.68082	69.91896	
1043	724.5944876576710	16.766563	145.1845	211.54454	195.33665	128.26068	166.815	165.30533	189.26541	73.77489	186.21461	209.30835	74.01439	115.76517	53.87182	39.32538	119.388	44.802456	301.45685	390.2177	155.27452	159.86198	60.759155	55.134132	50.343155	84.27856	65.14688	104.46481	39.573387	70.85142	93.973816	58.581688	173.52353	168.26405	116.03849	49.64972	62.77755	0	128.48192	41.842323	0	88.21677	69.937004	36.408623	0	0	121.52605	63.60502	116.54409	32.316936	
2130	535.4285863905470	20.308483	0	0	0	0	0	0	0	392.5031	0	495.87842	0	226.5295	602.1278	413.63623	605.6892	0	0	0	0	0	0	185.22025	597.8365	407.2418	1203.2874	39.074543	66.79422	0	96.601654	81.875626	0	0	410.53964	316.70755	552.04297	271.60352	342.26697	69.35458	391.46707	470.85043	41.299088	485.86407	187.72327	571.69464	0	343.55096	392.12253	317.65665	
485	635.3702030816530	14.788901	41.44687	46.258984	0	0	62.411324	0	0	57.283028	59.685272	50.355328	85.82077	0	0	0	0	0	0	0	0	0	62.17459	0	0	0	0	246.00374	0	0	0	0	52.07989	53.08406	0	0	141.01053	60.553284	0	0	103.02075	53.614494	0	211.50473	0	108.60396	0	0	0	139.25473	
137	429.4202205325800	12.035252	0	0	38.128517	0	0	0	0	51.01098	0	0	0	354.0097	142.87563	202.778	1341.734	0	0	0	538.36005	0	51.464092	596.89124	0	116.743	0	0	74.18408	0	0	1519.469	0	0	0	2210.0022	0	0	0	0	0	0	0	0	0	0	0	396.59534	111.74836	0	
