ID,064-0 ,064-1 ,064-2 ,064-3 ,064-4 ,064-5 ,064-6 ,064-7 ,064-8 ,064-9 ,085-0 ,085-1 ,085-2 ,085-3 ,085-4 ,085-5 ,085-6 ,085-7 ,085-8 ,085-9 ,115-0 ,115-1 ,115-2 ,115-3 ,115-4 ,115-5 ,115-6 ,115-7 ,115-8 ,115-9 ,123-0 ,123-1 ,123-2 ,123-3 ,123-4 ,123-5 ,123-6 ,123-7 ,123-8 ,123-9 ,OOI-0 ,OOI-2 ,OOI-3 ,OOI-4 ,OOI-5 ,OOI-6 ,OOI-7 ,OOI-8 
503.2852933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.7588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500.4815988,271.2303,191.43532,0,498.5291,64.39988,0,0,0,0,0,371.57086,211.9837,301.7808,196.4723,299.34363,0,214.5656,0,0,0,475.05276,432.34323,0,443.65506,0,477.29108,480.79916,739.79425,0,0,299.5091,681.1952,0,348.82626,302.68155,0,520.8168,475.24158,0,0,0,0,0,0,0,0,0,0
399.1226873,0,108.230606,49.28811,154.78342,0,0,0,0,0,0,116.19821,181.921,156.23929,0,0,0,56.23868,0,0,0,0,72.638275,0,245.23386,80.53726,267.90833,294.82437,261.19302,99.828186,83.03856,44.36827,151.01796,83.54855,142.13455,107.356895,0,252.59467,149.8182,131.82019,131.9336,0,0,0,83.61773,88.43372,90.318016,84.37936,92.920456
451.2094212,0,0,0,0,0,0,0,0,0,0,211.33655,0,0,0,0,0,0,0,0,0,0,156.18578,0,37.982834,0,0,0,0,0,0,0,0,0,0,0,89.406395,0,0,0,0,0,0,0,0,0,0,0,0
853.7075126,0,0,0,0,0,0,0,0,0,0,0,389.89062,68.072845,124.1436,0,0,0,0,0,0,0,0,0,0,706.78345,69.910355,137.82602,0,0,0,0,0,691.9274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441.2966494,633.5796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758.3041871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.50462,555.42267,492.4433,169.17766,229.12273,377.59644,458.49695
508.2621263,0,0,0,0,0,0,0,0,220.57043,403.68915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690.5325531,57.631905,79.441345,0,163.914,218.71605,45.788826,105.827255,0,131.47752,95.882675,1010.13074,89.02644,80.52707,69.19669,96.32712,47.799736,242.27145,0,39.12025,0,114.17061,120.0262,0,69.21423,43.045193,67.3705,75.00436,0,0,0,89.506325,0,0,55.211693,98.76007,0,124.852264,0,0,43.60116,0,0,35.40054,0,0,0,0,0
512.4451755,42.543457,39.777206,152.49055,49.825466,73.018524,162.71654,0,0,0,0,70.15968,143.61656,130.872,75.335106,56.05835,0,72.81116,121.153725,0,0,137.63593,31.42675,207.31735,58.209362,327.62567,98.17812,96.531494,304.9913,391.30634,332.4806,81.22176,82.13386,241.49622,268.5957,136.22726,296.4737,100.94205,143.47719,318.5803,305.02185,0,0,0,0,0,0,0,36.23593
517.25874,911.4869,214.6837,177.48277,245.24661,62.336174,0,0,0,0,0,0,0,117.546165,143.98297,444.33075,0,108.7401,0,0,0,0,0,865.35986,348.7138,252.03609,0,393.04297,582.48206,121.829704,181.64005,287.1113,185.66296,65.01673,164.80664,196.27576,0,161.30588,254.14873,0,0,0,0,71.502,0,186.9949,37.92771,0,49.832996
