PrimerID	derep result	derep result	FeatureID	id	molecularFormula	adduct	NPCpathway	NPCpathway Probability	NPCsuperclass	NPCsuperclass Probability	NPCclass	NPCclass Probability	ClassyFiremost specific class	ClassyFiremost specific class Probability	ClassyFirelevel 5	ClassyFirelevel 5 Probability	ClassyFiresubclass	ClassyFiresubclass Probability	ClassyFireclass	ClassyFireclass Probability	ClassyFiresuperclass	ClassyFiresuperclass probability	ClassyFireall classifications	row ID	row m/z	row retention time	064-0 Peak area	064-1 Peak area	064-2cm-B Peak area	064-3 Peak area	064-4 Peak area	064-5cm-B Peak area	064-6 Peak area	064-7 Peak area	064-8 Peak area	064-9 Peak area	064_Sum	085-0 Peak area	085-1 Peak area	085-2 Peak area	085-3 Peak area	085-4 Peak area	085-5cm-B Peak area	085-6 Peak area	085-7cm-B Peak area	085-8cm-A Peak area	085-9cm-B Peak area	085_Sum	115-0 Peak area	115-1 Peak area	115-2cm-B Peak area	115-3 Peak area	115-4cm-B Peak area	115-5 Peak area	115-6 Peak area	115-7 Peak area	115-8 Peak area	115-9 Peak area	115_Sum	123-0 Peak area	123-1 Peak area	123-2cm-B Peak area	123-3 Peak area	123-4 Peak area	123-5cm-B Peak area	123-6 Peak area	123-7 Peak area	123-8cm-B Peak area	123-9cm-B Peak area	123_Sum	OOI-0cm-B Peak area	OOI-2cm-B Peak area	OOI-3cm-B Peak area	OOI-4cm-B Peak area	OOI-5cm-B Peak area	OOI-6 Peak area	OOI-7cm-B Peak area	OOI-8cm-B Peak area	OOI_Sum
1055_Alkaloids_Porphyrins	Unassigned	N/A	1055	863_220629_5mMatOOI_siriusfeaturelist_1055	C32H34N4O4	[M - H4O2 + H]+	Alkaloids	0.955082059	Tryptophan alkaloids	0.955136538	Carboline alkaloids	0.774257898	Porphyrins	0.913911164	Unassigned	Unassigned	Porphyrins	0.913911164	Tetrapyrroles and derivatives	0.996148348	Organoheterocyclic compounds	0.999873281	Organic compounds; Organoheterocyclic compounds; Pyrroles; Alcohols and polyols; Porphyrins; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Tetrapyrroles and derivatives; Secondary alcohols; Carbonyl compounds; Substituted pyrroles; Methyl esters; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1055	503.2434599	16.77803	570.32526	437.8346	659.32355	540.02	493.05182	416.36285	340.11484	0	0	0	3457.03292	1217.493	1399.244	1786.7083	1380.5784	819.8586	532.2434	363.33417	685.7704	500.00714	57.59112	8742.82853	4381.663	3356.9163	890.58453	2549.6064	787.1897	1567.7631	1900.731	1489.5366	583.2706	574.7704	18082.03163	1597.7399	1364.8955	2581.502	618.36914	805.7813	2443.4204	692.2727	340.72906	2114.1687	1968.6357	14527.5144	163.39992	295.7089	215.2838	465.56348	242.6689	292.6289	409.89008	315.73804	2400.88202
1755_Alkaloids_Alpha amino acids and derivatives	Unassigned	N/A	1755	865_220629_5mMatOOI_siriusfeaturelist_1755	C36H60N6O4	[M + K]+	Alkaloids	0.347053677	Peptide alkaloids	0.085557692	Lipopeptides	0.166574761	Alpha amino acids and derivatives	0.504732907	Amino acids and derivatives	0.576848745	"Amino acids, peptides, and analogues"	0.619807601	Carboxylic acids and derivatives	0.539247215	Organic acids and derivatives	0.818887949	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Phenylpropanes; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	1755	679.4298541	19.079	0	0	0	0	47.73171	91.63189	516.35077	196.48076	280.62518	147.95593	1280.77624	64.79964	83.25564	65.787605	103.982666	185.28047	185.33783	856.8011	0	0	423.40665	1968.651601	0	225.12155	0	227.42268	0	124.78818	41.680256	84.05907	0	0	703.071736	99.87832	104.18634	0	98.00474	65.26533	0	0	0	0	109.93854	477.27327	0	0	0	0	0	0	0	0	0
1853_Alkaloids_Aminopyrimidines and derivatives	Unassigned	N/A	1853	880_220629_5mMatOOI_siriusfeaturelist_1853	C34H69N7O	[M + Na]+	Alkaloids	0.788267255	Ornithine alkaloids	0.730707526	Polyamines	0.134418622	Aminopyrimidines and derivatives	0.561096609	Aminopyrimidines and derivatives	0.561096609	Pyrimidines and pyrimidine derivatives	0.255131841	Diazines	0.127079919	Organoheterocyclic compounds	0.966811538	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Aminopyrimidines and derivatives; Amines; Tertiary amines; N-aliphatic s-triazines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1853	614.5478986	19.47831	440.57162	85.15204	0	141.38614	65.790855	0	193.16934	0	322.85367	144.30896	1393.232625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151.15419	0	0	0	0	0	0	0	0	0	151.15419	0	0	0	0	0	0	0	0	0
1037_Alkaloids_Porphyrins	Unassigned	N/A	1037	886_220629_5mMatOOI_siriusfeaturelist_1037	C34H30N4O4	[M + H]+	Alkaloids	0.935839534	Tryptophan alkaloids	0.953839123	Carboline alkaloids	0.909879446	Porphyrins	0.984290719	Unassigned	Unassigned	Porphyrins	0.984290719	Tetrapyrroles and derivatives	0.994437218	Organoheterocyclic compounds	0.99990046	Organic compounds; Organoheterocyclic compounds; Pyrroles; Porphyrins; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Tetrapyrroles and derivatives; Carbonyl compounds; Substituted pyrroles; Methyl esters; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1037	559.2330136	16.759808	165.54913	203.75616	208.43985	276.7522	34.837524	107.92607	39.716576	0	0	0	1036.97751	829.01154	727.1555	326.92978	435.2277	268.78867	22.559015	145.80322	114.189766	0	0	2869.665191	699.2508	1709.1719	528.0465	1526.0581	616.8423	1406.3629	797.0829	757.82117	522.1222	512.4202	9075.17897	903.86053	660.68536	571.7902	474.24493	456.6037	421.75842	366.39508	270.50885	569.6824	543.2108	5238.74027	667.07837	90.20308	73.47182	97.41156	97.5877	68.73399	122.30946	118.51626	1335.31224
896_Alkaloids_Tetrapyrroles and derivatives	Unassigned	N/A	896	901_220629_5mMatOOI_siriusfeaturelist_896	C34H34N4O4	[M + Na]+	Alkaloids	0.880639136	Tryptophan alkaloids	0.75409174	Carbazole alkaloids	0.242895246	Tetrapyrroles and derivatives	0.784689307	Unassigned	Unassigned	Unassigned	Unassigned	Tetrapyrroles and derivatives	0.784689307	Organoheterocyclic compounds	0.999842644	Organic compounds; Organoheterocyclic compounds; Pyrroles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Azoles; Carboxylic acid derivatives; Carboxylic acid esters; Tetrapyrroles and derivatives; Carbonyl compounds; Substituted pyrroles; Methyl esters; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	896	585.2471539	16.5352	1479.4323	403.97882	524.0132	853.40515	241.67717	448.86694	126.14752	0	0	0	4077.5211	1531.0249	938.96246	1543.4609	1498.9252	1044.3395	208.74644	667.4325	503.5924	94.986465	0	8031.470765	2342.9734	1015.1915	1373.3867	2767.8665	2435.7498	1734.5348	1726.7417	1347.8785	1384.3066	345.3527	16473.9822	1949.1221	2112.7676	7019.031	663.5938	1129.6709	3323.4324	1117.8008	868.0155	4110.6064	4236.5947	26530.6352	574.0249	618.3612	590.4651	951.0928	845.4453	891.82434	1018.8359	1208.8643	6698.91384
356_Alkaloids_Carbamate esters	Unassigned	N/A	356	902_220629_5mMatOOI_siriusfeaturelist_356	C46H34N6O8	[M + H3N + H]+	Alkaloids	0.290998399	Small peptides	0.191248342	Tripeptides	0.250145018	Carbamate esters	0.907596052	Amino acids and derivatives	0.988089979	"Amino acids, peptides, and analogues"	0.988520563	Carboxylic acids and derivatives	0.997794747	Organic acids and derivatives	0.999820411	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alkyl aryl ethers; Phenethylamines; Amphetamines and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Carbamic acids and derivatives; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Benzyloxycarbonyls; Carbamate esters; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; N-arylamides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	356	816.2816342	13.8664055	3416.2336	2571.6655	744.8651	3196.4082	592.47565	663.3412	479.49033	0	86.95661	63.14752	11814.58371	1521.4513	3945.8303	1955.9177	3629.9243	1598.2749	499.71924	1688.4489	871.39056	103.24018	94.68543	15908.88281	1354.5298	2241.0803	1449.3239	4665.4023	1844.9331	5763.299	6362.2246	3465.9282	2151.277	1490.8552	30788.8534	1414.6797	3123.8994	1819.0046	3778.9937	1446.2012	1815.3652	3399.8093	3280.0166	2881.3423	2863.5715	25822.8835	1028.1683	1762.0771	1772.1451	1625.5513	1750.1237	1793.071	2206.4546	2272.1714	14209.7625
163_Alkaloids_Steroidal alkaloids	Unassigned	N/A	163	906_220629_5mMatOOI_siriusfeaturelist_163	C27H54N2	[M + Na]+	Alkaloids	0.773104608	Diterpenoids	0.122559853	Steroidal alkaloids	0.429236561	Steroidal alkaloids	0.793810487	Unassigned	Unassigned	Steroidal alkaloids	0.793810487	Steroids and steroid derivatives	0.022047969	Lipids and lipid-like molecules	0.628427923	Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organonitrogen compounds; Dialkylamines; Trialkylamines; Amines; Secondary amines; Tertiary amines; Steroidal alkaloids; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	163	429.4202267	12.323689	63.21556	0	0	96.14807	0	0	0	0	0	0	159.36363	39.905476	0	0	0	0	0	0	0	0	0	39.905476	0	0	263.07315	0	559.7946	0	0	0	284.6182	121.697945	1229.183895	250.84467	350.499	0	1343.8998	155.91637	78.25221	282.31946	171.78447	0	0	2633.51598	0	0	39.903233	98.53049	90.02667	0	0	69.34929	297.809683
901_Alkaloids_Chlorins	Unassigned	N/A	901	926_220629_5mMatOOI_siriusfeaturelist_901	C34H36N4O4	[M + H]+	Alkaloids	0.879192829	Tryptophan alkaloids	0.92006743	Carboline alkaloids	0.851228476	Chlorins	0.976997733	Unassigned	Unassigned	Chlorins	0.976997733	Tetrapyrroles and derivatives	0.995238423	Organoheterocyclic compounds	0.999989271	Organic compounds; Organoheterocyclic compounds; Pyrroles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Chlorins; Carboxylic acid derivatives; Carboxylic acid esters; Tetrapyrroles and derivatives; Carbonyl compounds; Substituted pyrroles; Methyl esters; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	901	565.2763088	16.538378	991.5616	367.94324	200.06793	958.2962	0	200.30975	155.01027	0	0	0	2873.18899	1128.7838	376.8572	1412.0392	1371.3834	1175.4271	147.96082	861.5968	380.29147	90.43496	0	6944.77475	1990.2157	1400.0312	449.09595	2589.0095	692.0925	2002.7975	1940.9883	2109.076	555.9797	187.83316	13917.11951	1485.019	1773.2188	1963.7334	543.81805	957.73627	1423.1237	835.417	836.3511	2129.9993	2083.1206	14031.53722	130.63812	200.52708	249.8674	330.0284	273.0271	336.17706	420.134	550.2543	2490.65346
1577_Alkaloids_Amino acids and derivatives	Unassigned	N/A	1577	953_220629_5mMatOOI_siriusfeaturelist_1577	C39H72N4O2	[M + Na]+	Alkaloids	0.375469089	Pseudoalkaloids	0.095046431	Steroidal alkaloids	0.312238276	Amino acids and derivatives	0.63342768	Amino acids and derivatives	0.63342768	"Amino acids, peptides, and analogues"	0.632856309	Carboxylic acids and derivatives	0.317356199	Organic acids and derivatives	0.349746913	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; 1,2-aminoalcohols; Dialkylamines; Trialkylamines; Amines; Secondary amines; Tertiary amines; Alkanolamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	1577	651.5512604	18.403227	0	0	0	165.80276	0	0	0	0	0	0	165.80276	888.75476	1019.0745	148.39145	86.88428	64.51027	0	0	0	0	0	2207.61526	541.32416	322.2609	0	271.03314	0	154.53929	188.63434	0	0	0	1477.79183	229.17686	130.77264	288.57507	0	0	0	0	0	0	0	648.52457	279.72458	347.93002	257.78882	190.29906	328.59525	259.3065	156.79758	68.09083	1888.53264
1192_Alkaloids_Tetrapyrroles and derivatives	Unassigned	N/A	1192	960_220629_5mMatOOI_siriusfeaturelist_1192	C35H38N4O4	[M + H]+	Alkaloids	0.864753485	Tryptophan alkaloids	0.938687801	Carboline alkaloids	0.884889841	Tetrapyrroles and derivatives	0.997567415	Unassigned	Unassigned	Unassigned	Unassigned	Tetrapyrroles and derivatives	0.997567415	Organoheterocyclic compounds	0.999997377	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Pyrroles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Tetrapyrroles and derivatives; Carbonyl compounds; Substituted pyrroles; Methyl esters; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1192	579.2948774	17.081802	0	32.11966	37.300346	0	0	0	0	0	0	0	69.420006	5242.1895	381.77487	267.31262	285.99252	174.54974	104.03649	27.270262	90.59206	58.97125	0	6632.689312	160.28711	180.50941	27.516764	81.71874	45.10225	166.89844	152.60237	115.387344	31.52594	0	961.548368	0	83.44949	159.15004	0	132.41982	124.12744	64.84012	33.485992	167.5413	94.559456	859.573658	7782.555	1653.3016	245.50964	700.31226	731.30206	814.22064	388.79724	182.27983	12498.27827
"2249_Alkaloids_Allyl-type 1,3-dipolar organic compounds"	Unassigned	N/A	2249	971_220629_5mMatOOI_siriusfeaturelist_2249	C30H55N7	[M + Na]+	Alkaloids	0.247735515	Ornithine alkaloids	0.061848849	Polyamines	0.3114416	"Allyl-type 1,3-dipolar organic compounds"	0.555956662	Unassigned	Unassigned	Unassigned	Unassigned	"Allyl-type 1,3-dipolar organic compounds"	0.555956662	"Organic 1,3-dipolar compounds"	0.824432492	"Organic compounds; Organonitrogen compounds; Azo compounds; Amines; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"	2249	536.4370024	20.667122	4206.3193	4380.824	3569.5317	4546.1006	2796.883	3351.6887	1068.7894	226.63887	461.96005	272.88144	24881.61706	3287.3271	4739.712	5364.2134	5637.015	4721.427	914.036	4970.0845	3975.002	988.69727	769.7392	35367.25347	5118.6006	1879.0538	0	6338.004	7304.578	5854.905	7909.9463	8383.529	2967.913	6380.949	52137.4787	9642.773	5055.006	7518.559	18984.291	15015.174	3447.6184	8695.08	7380.5693	0	7290.201	83029.2717	0	447.98584	0	0	510.57623	1355.7045	427.2603	0	2741.52687
1296_Alkaloids_Steroidal alkaloids	Unassigned	N/A	1296	978_220629_5mMatOOI_siriusfeaturelist_1296	C40H79NO	[M + Na]+	Alkaloids	0.661392212	Pseudoalkaloids	0.182931259	Steroidal alkaloids	0.062993743	Steroidal alkaloids	0.760126173	Unassigned	Unassigned	Steroidal alkaloids	0.760126173	Steroids and steroid derivatives	0.904059768	Lipids and lipid-like molecules	0.987264276	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Fatty amides; Carboxylic acid amides; N-acyl amines; Trialkylamines; Azasteroids and derivatives; Amines; Tertiary amines; Steroidal alkaloids; Fatty Acyls; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1296	612.6066943	17.32649	544.3294	463.52448	485.36636	258.11078	93.65261	314.05417	0	0	0	0	2159.0378	426.64044	832.8738	1491.653	735.84	1106.8181	199.28394	790.5499	205.68967	41.042435	0	5830.391285	1167.8923	167.36066	1142.6252	1936.6091	1646.6776	414.46368	2058.0864	2174.497	1314.0988	1230.6152	13252.92594	690.5221	1138.5212	1297.9998	1267.1932	1030.8978	350.71548	1568.2236	1623.0784	1673.4535	1826.2908	12466.89588	1187.9048	1433.1693	1398.8138	1852.888	1562.0006	1501.7296	1972.306	2498.3635	13407.1756
1009_Alkaloids_Heteroaromatic compounds	Unassigned	N/A	1009	982_220629_5mMatOOI_siriusfeaturelist_1009	C46H67N5	[M + H]+	Alkaloids	0.951536	Pseudoalkaloids	0.176539674	Steroidal alkaloids	0.138152137	Heteroaromatic compounds	0.707625747	Unassigned	Unassigned	Unassigned	Unassigned	Heteroaromatic compounds	0.707625747	Organoheterocyclic compounds	0.980769873	"Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Amines; Propargyl-type 1,3-dipolar organic compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic nitrogen compounds; Chemical entities"	1009	690.5411224	16.688448	0	0	0	0	1352.5256	0	0	0	0	0	1352.5256	628.2428	45.49106	75.4822	0	0	0	61.02776	0	0	0	810.24382	0	0	0	0	0	0	0	0	0	0	0	74.89446	0	0	0	0	0	0	0	0	0	74.89446	0	0	0	0	0	0	0	0	0
1272_Alkaloids_Benzene and substituted derivatives	Unassigned	N/A	1272	999_220629_5mMatOOI_siriusfeaturelist_1272	C26H37N3O	[M + Na]+	Alkaloids	0.427409708	Pseudoalkaloids (transamidation)	0.296714425	Pyridine alkaloids	0.193799153	Benzene and substituted derivatives	0.515349686	Unassigned	Unassigned	Unassigned	Unassigned	Benzene and substituted derivatives	0.515349686	Benzenoids	0.366538286	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid derivatives; Carbonyl compounds; Benzene and substituted derivatives; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1272	430.2859359	17.232779	182.38504	22.985611	0	39.75908	0	0	0	0	0	0	245.129731	233.81595	230.2572	121.05129	77.502075	54.016617	0	74.503136	0	0	0	791.146268	273.3637	95.7025	114.90287	154.69098	65.09	212.33115	161.47963	315.42395	53.375587	24.50725	1470.867617	63.024155	153.99088	275.06772	76.284294	0	291.12213	0	29.98501	196.35934	268.1518	1353.985329	0	0	0	0	0	41.8357	28.705753	41.175217	111.71667
1520_Alkaloids_Dialkylarylamines	Unassigned	N/A	1520	1001_220629_5mMatOOI_siriusfeaturelist_1520	C20H28N10O6	[M + Na]+	Alkaloids	0.402831644	Pseudoalkaloids	0.35646522	Purine alkaloids	0.090462007	Dialkylarylamines	0.848726034	Tertiary amines	0.777781129	Amines	0.942235947	Organonitrogen compounds	0.999907017	Organic nitrogen compounds	0.999999762	"Organic compounds; Organoheterocyclic compounds; Triazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Furazans; Benzenoids; Amines; Tertiary amines; Tertiary alkylarylamines; Allyl-type 1,3-dipolar organic compounds; Dialkylarylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	1520	527.2063705	18.19615	0	0	0	0	0	0	0	0	0	0	0	245.84706	323.21252	70.296715	116.046875	163.15903	0	0	0	0	0	918.5622	185.05797	0	71.98424	209.78099	119.97594	159.75938	182.59215	92.4282	0	0	1021.57887	0	236.75818	72.65181	187.74443	212.2718	0	41.968834	65.59313	0	0	816.988184	0	0	0	0	0	0	0	0	0
7_Alkaloids_Alkylarylthioethers	Unassigned	N/A	7	1004_220629_5mMatOOI_siriusfeaturelist_7	C16H18N8O4S3	[M + H]+	Alkaloids	0.640324771	Pseudoalkaloids	0.10147991	Pyridine alkaloids	0.061296031	Alkylarylthioethers	0.606811583	Alkylarylthioethers	0.606811583	Aryl thioethers	0.657971501	Thioethers	0.849107146	Organosulfur compounds	0.996026039	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Sulfonyls; Thioethers; Benzenoids; Amines; Aminosulfonyl compounds; Sulfenyl compounds; Dialkylthioethers; Alkylarylthioethers; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Aryl thioethers; Organic nitrogen compounds; Chemical entities	7	483.0709775	8.614	524.9097	0	0	0	0	0	0	0	0	0	524.9097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326.24356	0	0	0	0	0	0	0	0	0	326.24356	0	0	0	0	0	0	0	0	0
462_Alkaloids_Porphyrins_Serinocyclin_A	_Serinocyclin_A	Serinocyclin_A_Serinocyclin_A	462	1006_220629_5mMatOOI_siriusfeaturelist_462	C34H36N4O6	[M + H]+	Alkaloids	0.995572925	Tryptophan alkaloids	0.975510836	Carboline alkaloids	0.861989856	Porphyrins	0.993845105	Unassigned	Unassigned	Porphyrins	0.993845105	Tetrapyrroles and derivatives	0.995304585	Organoheterocyclic compounds	0.999997735	Organic compounds; Organoheterocyclic compounds; Pyrroles; Porphyrins; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acids; Tetrapyrroles and derivatives; Carbonyl compounds; Substituted pyrroles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	462	597.2709094	14.56206	685.855	216.21837	467.2878	743.64465	103.488815	212.01015	62.489456	0	0	0	2490.994241	0	631.6679	410.55563	328.24203	174.30545	61.61474	139.44467	198.50194	63.81997	0	2008.15233	499.9421	1484.7218	855.0752	1592.956	589.18475	913.45337	891.4488	474.14087	446.3839	627.9428	8375.24959	914.3322	1192.023	1502.2664	454.39542	468.29553	1486.5342	433.32812	199.66904	1035.825	859.63696	8546.30587	208.50046	196.85838	171.89998	222.44182	225.51839	281.06155	170.19618	225.20384	1701.6806
1672_Alkaloids_Guanidines	Unassigned	N/A	1672	1007_220629_5mMatOOI_siriusfeaturelist_1672	C26H56N6	[M + H]+	Alkaloids	0.872322202	Guanidine alkaloids	0.131862074	Acyclic guanidine alkaloids	0.087390348	Guanidines	0.87670821	Unassigned	Unassigned	Guanidines	0.87670821	Organonitrogen compounds	0.999917865	Organic nitrogen compounds	0.999999881	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Guanidines; Carboximidamides; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	1672	453.465738	18.721964	184.05539	88.792274	104.86397	305.9508	125.8816	36.013348	48.142612	0	0	0	893.699994	148.02951	124.61688	113.25024	54.45152	93.12389	233.33813	66.77106	223.4188	75.71663	0	1132.71666	113.793755	163.81519	223.7072	176.47447	157.84698	143.79668	120.653984	49.556374	237.30936	169.8726	1556.826593	57.122272	143.10043	94.005684	185.84502	185.7385	141.75478	104.82104	153.93607	88.30252	111.89114	1266.517456	214.2859	305.8721	239.29063	238.51581	296.79053	343.74072	207.37775	175.37238	2021.24582
169_Alkaloids_6-aminopurines	Unassigned	N/A	169	1020_220629_5mMatOOI_siriusfeaturelist_169	C16H28N6O6P2	[M + H]+	Alkaloids	0.302668631	Pseudoalkaloids	0.541727901	Purine alkaloids	0.277480692	6-aminopurines	0.993151784	6-aminopurines	0.993151784	Purines and purine derivatives	0.943609357	Imidazopyrimidines	0.987248361	Organoheterocyclic compounds	0.9985587	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Azoles; Aminopyrimidines and derivatives; Diazines; Imidazopyrimidines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; 6-aminopurines; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	169	463.1646805	12.401483	1357.6332	910.4674	83.46913	55.534214	0	423.75195	123.51398	674.93225	121.79182	485.7965	4236.890444	241.11913	185.35176	0	0	256.76907	0	300.81296	0	0	0	984.05292	214.75014	0	437.59818	0	1241.8242	183.99052	116.382996	377.72906	198.3641	853.79926	3624.438456	1022.89667	397.03378	83.00174	777.2217	955.5094	642.7439	538.382	451.43658	109.14437	99.98042	5077.35056	0	83.83374	0	0	48.906853	193.22758	68.38667	0	394.354843
1102_Alkaloids_Chlorins	Unassigned	N/A	1102	1045_220629_5mMatOOI_siriusfeaturelist_1102	C34H36N4O3	[M + H]+	Alkaloids	0.926531851	Tryptophan alkaloids	0.888823032	Carbazole alkaloids	0.652662694	Chlorins	0.594993114	Unassigned	Unassigned	Chlorins	0.594993114	Tetrapyrroles and derivatives	0.994014084	Organoheterocyclic compounds	0.999825776	Organic compounds; Organoheterocyclic compounds; Pyrroles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Chlorins; Carboxylic acids; Tetrapyrroles and derivatives; Carbonyl compounds; Substituted pyrroles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1102	549.2850997	16.872585	702.2987	1491.3246	1597.1582	673.6311	478.69318	757.1507	0	95.8029	0	41.325825	5837.385205	2451.8442	719.84625	537.08704	387.07156	566.31635	309.12183	0	394.29443	230.0096	102.45314	5698.0444	947.1125	804.2446	4378.1753	834.01917	1494.9711	619.24414	386.94635	609.3264	1485.6194	5601.185	17160.84396	1336.4468	1785.1003	1177.0898	0	1151.485	2593.145	1271.3019	0	1714.8302	955.03033	11984.42933	0	3139.8743	581.6483	1519.3917	1810.1033	1810.0536	770.71747	499.05798	10130.84665
